fid,name,price,rating,reviews,stars
203,Daniela en Las Cañitas,2286,9.9,8,
204,EC Apartments,4572,9.4,15,
205,hotel egipto,1714.5,5.9,7,
206,LikeHome Palermo D1,4762.5,9.4,31,
207,La Casa de los Pajaros,2921,8.1,4,
208,Loft click,1397,8.6,3,
209,Graduado,1143,8.5,9,
210,Petit El Vitraux,3492.5,9,112,
211,BUENOS AIRES EXPERIENCE - Av Corrientes - Obelisco,2540,8.7,8,
212,Top Rentals Palermo,5461,9.7,30,
213,Alvear Palace Hotel - Leading Hotels of the World,32385,9.2,524,5
214,Bauen Hotel,2667,7.4,996,2
215,Vitrum Hotel,10160,8.6,306,4
216,Luxury Residence,9080.5,9.4,18,
217,Tunez Suites,3111.5,8,8,
218,Urban 011,2159,6.9,8,
219,Casa de Familia - Solo Para Mujeres *Woman ONLY*,1587.5,8.7,61,
220,Libertador,3810,8.5,5,
221,Algodon Mansion,27749.5,9,84,5
222,Luminoso y amplio departamento 2 ambientes en Palermo Hollywood,3619.5,9.9,18,
223,Art Suites & Gallery,6858,8.9,518,4
224,Eco House,1778,8.5,65,
225,La Bamba Student Hostel,1524,8.5,98,
226,06 Central Hostel Buenos Aires,1079.5,8,528,
227,Balboa b&b,1968.5,9.6,5,
228,Vi Luz y Entre Hostel,889,6.6,21,
229,Rayuela Hostel,1524,10,3,
230,HOTEL REGIS,3429,7.3,45,3
231,Loft en Villa Crespo a Cuadras del nuevo estadio Arenas y de Palermo,3175,8.4,4,
232,NH Buenos Aires Latino,6159.5,8.6,934,4
233,Hotel Napoleón,2222.5,7.3,273,3
234,Villa crespo,1270,7.7,10,
235,Hotel Internacional,2984.5,8,1220,2
236,Hotel Principe,3365.5,8.2,80,2
237,Vinilo Apartment Recoleta,2857.5,9.9,4,
238,Republica Palermo,5080,8,325,
239,Le Batiment Apartmentos,2349.5,9,1342,
240,Libertador Hotel,11938,8,876,5
241,Hotel Rey,2095.5,7.9,639,3
242,Palermo Hollywood,1460.5,7.8,129,
243,Cozy Apartment in Palermo,2413,8.9,75,
244,Alpino Hotel,4127.5,7.4,1233,3
245,Hotel Reina,2413,7.5,1102,2
246,Holiday Inn Express Puerto Madero,11430,8.5,590,4
247,Campamentos Urbanos,2095.5,9.1,102,
248,Hotel Varela,1333.5,7.3,218,
249,Loft Av Cordoba,1524,7.5,44,
250,Petit amour Alto Palermo,5588,9.1,40,
251,Hotel Grand Brizo Buenos Aires,8318.5,9.3,1502,4
252,Hotel La Piedad,1524,8.3,308,
253,ABADIA PALERMO,2349.5,8.6,189,
254,Glorious Studio Palermo Hollywood,4254.5,8.3,16,
255,Back in BA hostel,1651,7.9,298,
256,Icaro Suites,6540.5,8.7,1140,4
257,Studio Recoleta. Gran Ubicación,5588,8.4,14,
258,NH Collection Buenos Aires Lancaster,10350.5,8.8,416,4
259,Yerbal 721,2540,8.5,31,
260,Av. Corrientes 820,3429,8.5,98,
261,BULNES Cozy Apartment,3048,9.3,15,
262,Origen,2032,7.6,30,
263,Hotel Cosme,1333.5,6.9,86,2
264,Hotel La Perla,3238.5,7.7,673,3
265,Departamentos alquiler temporario Balvanera,3048,8.1,52,
266,Charming SanTelmo Location,3175,9.7,9,
267,Panamericano Buenos Aires,13779.5,8.4,1366,5
268,Grand King Hotel,3556,7.9,1575,4
269,The Luxury at 1530 by Luxury Apartments Buenos Aires,4381.5,8.7,11,
270,Tucuman Palace Hotel,2603.5,7.2,1318,2
271,Paraguay 716 We sleep,4254.5,8.9,407,
272,Babel Apartments Palermo I,4826,7.5,243,
273,Soho Point Palermo,4000.5,8.2,423,
274,2415 Palermo,3048,8.9,246,
275,ARC Recoleta Boutique Hotel & Spa,10287,8.7,1203,4
276,Estudio a 2 cuadras de Av Santa Fe,2667,8.4,42,
277,Leonardo Da Vinci Residence,2413,8.1,599,
278,Cuba Suites,4318,8.3,19,
279,Hotel Intersur Recoleta,8826.5,8.7,846,4
280,Hotel Metropolitano Supara,4127.5,9,462,4
281,Rosedal Suite,3492.5,7.7,815,
282,HOTEL PARIS,2032,6.5,17,
283,Hotel Chile,1905,7.1,376,2
284,Hotel Colonial,2476.5,6.5,72,3
285,NH Buenos Aires 9 de Julio,7239,8.6,598,4
286,Departamento Moderno proximo a Avenida Corrientes y Obelisco,2921,7.8,28,
287,Lafayette Hotel,5715,8.3,879,4
288,Ker Belgrano Apart & Spa,6985,8,771,4
